Sector,Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Calmar Ratio,Beta,Alpha (%)
Materials,11.1,16.87,0.421,0.626,-23.17,0.479,0.818,-5.78
Communication Svcs,26.63,16.95,1.335,1.926,-17.97,1.482,0.922,8.13
Energy,19.08,21.49,0.702,0.93,-20.14,0.947,0.655,4.77
Financials,17.93,16.22,0.859,1.151,-15.54,1.154,0.83,0.88
Industrials,20.34,15.87,1.03,1.498,-18.49,1.1,0.885,2.41
Technology,25.24,23.05,0.921,1.262,-25.66,0.984,1.391,-0.66
Cons. Staples,7.54,11.97,0.296,0.456,-13.37,0.564,0.275,-0.78
Real Estate,9.56,17.12,0.325,0.473,-16.74,0.571,0.612,-4.07
Utilities,15.33,16.2,0.699,1.01,-18.39,0.834,0.383,5.32
Healthcare,7.43,13.68,0.25,0.355,-17.11,0.434,0.491,-4.3
Cons. Discretionary,17.86,20.64,0.671,1.009,-26.01,0.687,1.185,-4.78
